disease_id,disease_group,icd_code,disease,icd_name,share_outpatient,share_oneday,share_inpatient,top1_code,top2_code,top3_code,top1_share,top2_share,top3_share,n_total,n_Female_25-44_Low,n_Female_25-44_Med,n_Female_25-44_High,n_Female_45-64_Low,n_Female_45-64_Med,n_Female_45-64_High,n_Female_65+_Low,n_Female_65+_Med,n_Female_65+_High,n_Male_25-44_Low,n_Male_25-44_Med,n_Male_25-44_High,n_Male_45-64_Low,n_Male_45-64_Med,n_Male_45-64_High,n_Male_65+_Low,n_Male_65+_Med,n_Male_65+_High
50,Other neoplasms,C49,Malignant neoplasm of other connective and soft tissue,Malignant neoplasm of other connective and soft tissue,0.545889,0.146185,0.307926,C49,C44,Z76,0.78,0.04,0.03,7510,125,182,282,526,397,346,606,551,528,170,159,129,389,500,536,571,707,806
52,Other neoplasms,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system","Malignant neoplasms of eye, brain and other parts of central nervous system",0.708268,0.085465,0.206267,C71,D32,D43,0.21,0.14,0.10,21149,388,472,573,1918,1510,1022,1885,1449,1688,465,475,333,1176,1377,1342,1502,1792,1782
53,Other neoplasms,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,Malignant neoplasms of thyroid and other endocrine glands,0.442646,0.027115,0.530239,C73,D35,D44,0.75,0.08,0.05,3672,164,216,288,408,331,257,293,227,221,82,99,90,176,171,193,135,149,172
54,Other neoplasms,C76.0,"Malignant neoplasm of head, face and neck","Malignant neoplasm of head, face and neck",0.39872,0.139151,0.462129,C77,C76,C10,0.21,0.18,0.12,5892,,,83,388,252,172,345,305,309,81,68,81,784,537,456,720,661,650
55,Other neoplasms,C79.3-C79.5,Secondary malignant neoplasm of brain and cerebral meninges,Secondary malignant neoplasm of brain and cerebral meninges,0.627672,0.030996,0.341332,C79,Z76,G55,0.92,0.02,0.01,22074,138,218,241,1809,1436,941,2047,1377,1729,127,134,103,1244,1257,1157,2555,2867,2694
56,Other neoplasms,C80,Malignant neoplasm without specification of site,Malignant neoplasm without specification of site,0.607976,0.119104,0.27292,C80,C44,C79,0.30,0.22,0.08,21055,254,305,414,1271,1051,678,2339,2075,1999,169,146,127,870,917,890,2425,2533,2592
57,Other neoplasms,D11,Benign neoplasm of major salivary glands,Benign neoplasm of major salivary glands,0.685543,0.049794,0.264662,D11,D10,Z76,0.90,0.05,0.02,8794,220,258,329,691,528,399,672,572,585,219,233,225,650,692,652,610,594,665
58,Other neoplasms,D14.0,"Benign neoplasm of mid ear, nasl cav and accessory sinuses","Benign neoplasm of mid ear, nasl cav and accessory sinuses",0.533627,0.14627,0.320103,C31,D14,D10,0.35,0.28,0.16,1731,,,,105,90,60,97,88,73,64,66,58,147,167,166,191,175,184
59,Other neoplasms,D16,Benign neoplasm of bone and articular cartilage,Benign neoplasm of bone and articular cartilage,0.753005,0.174422,0.072573,D16,M89,M85,0.61,0.24,0.07,10221,431,530,744,1040,937,574,435,347,398,525,505,478,658,820,758,308,359,374
61,Other neoplasms,D21,Other benign neoplasms of connective and other soft tissue,Other benign neoplasms of connective and other soft tissue,0.681161,0.251436,0.067403,D21,D48,R22,0.87,0.02,0.01,13363,555,639,858,1466,1249,796,659,545,521,525,556,524,896,1034,992,457,529,562
62,Other neoplasms,D31.6,Benign neoplasm of unspecified site of orbit,Benign neoplasm of unspecified site of orbit,0.805139,0.115632,0.079229,D48,C79,D18,0.43,0.12,0.12,1141,,,56,129,121,72,93,68,85,,,,68,86,83,83,90,107
64,Other neoplasms,D33,Benign neoplasm of brain and oth prt central nervous system,Benign neoplasm of brain and oth prt central nervous system,0.954927,0.009947,0.035126,D33,D32,D35,0.74,0.08,0.07,10523,189,246,339,863,761,473,854,720,834,201,231,190,609,781,884,633,776,939
65,Other neoplasms,D35,Benign neoplasm of other and unspecified endocrine glands,Benign neoplasm of other and unspecified endocrine glands,0.463633,0.032747,0.503619,D35,E21,D44,0.54,0.23,0.16,5750,298,334,505,675,529,403,465,343,398,127,111,77,299,289,249,200,220,228
66,Other neoplasms,D36.1 D36.7 D36.9,Benign neoplasm of peripheral nerves and autonomic nervous system,Benign neoplasm of peripheral nerves and autonomic nervous system,0.652183,0.210417,0.137401,D14,C44,D48,0.26,0.24,0.17,7170,140,162,258,453,431,320,512,475,549,225,198,195,393,466,534,529,614,716
67,Other neoplasms,D43,Neoplasm of uncertain behavior of brain and cnsl,Neoplasm of uncertain behavior of brain and cnsl,0.357038,0.013123,0.62984,D43,C71,Z76,0.61,0.05,0.05,15072,294,353,420,1372,1145,721,1170,815,1138,338,348,275,939,1102,1048,1122,1214,1258
68,Other neoplasms,D44,Neoplasm of uncertain behavior of endocrine glands,Neoplasm of uncertain behavior of endocrine glands,0.754442,0.039657,0.205901,D44,D35,C74,0.67,0.19,0.07,6612,135,163,183,713,550,310,490,434,471,120,98,85,451,473,405,481,518,532
69,Other neoplasms,D48,Neoplasm of uncertain behavior of other and unsp sites,Neoplasm of uncertain behavior of other and unsp sites,0.538126,0.057635,0.404238,D48,D43,C18,0.27,0.12,0.10,3800,66,75,85,246,217,135,460,435,383,,53,,116,117,137,471,436,368
71,Diabetes mellitus including diabetic complications,E10-E14,Diabetes mellitus,Diabetes mellitus,0.839173,0.016442,0.144385,E11,E14,E10,0.45,0.39,0.12,76494,1492,1373,1320,4920,3276,1915,6455,5831,4479,2917,1907,1305,8178,5906,4304,8848,6997,5071
