sex,age_group,disease_id_from,disease_id_to,link_strength
Female,25-44,146,299,0.0105990145373841
Female,25-44,146,301,0.0048971159547432
Female,25-44,146,324,0.0105775045492256
Female,25-44,148,61,0.0013751919327675
Female,25-44,148,140,0.0049086751853675
Female,25-44,148,145,0.0083885442463778
Female,25-44,148,146,0.0047342509250102
Female,25-44,148,151,0.0018379460035396
Female,25-44,148,181,0.0035322216997521
Female,25-44,148,198,0.0040217575439672
Female,25-44,148,220,0.0022308761720842
Female,25-44,148,241,0.0028003688443293
Female,25-44,148,253,0.0051835929758486
Female,25-44,148,284,0.0030471763049006
Female,25-44,148,288,0.0133637369937706
Female,25-44,148,297,0.0035390594960455
Female,25-44,148,299,0.0059008288144634
Female,25-44,148,300,0.0062452461400603
Female,25-44,148,301,0.008540603019035
Female,25-44,148,303,0.0118789580036207
Female,25-44,148,333,0.002049836655206
Female,25-44,164,11,0.001022617750117
Female,25-44,164,30,0.0011021660012923
Female,25-44,164,86,0.0011072935289015
Female,25-44,164,112,0.0025065148178523
Female,25-44,164,145,0.0089706014163841
Female,25-44,164,146,0.0054370169887623
Female,25-44,164,151,0.0021332007328974
Female,25-44,164,163,0.0010537319922212
Female,25-44,164,166,0.0020143195031937
Female,25-44,164,168,0.0109179456663769
Female,25-44,164,169,0.0026674744906828
Female,25-44,164,181,0.0041757471267081
Female,25-44,164,183,0.0042728872561474
Female,25-44,164,198,0.0060240650594877
Female,25-44,164,208,0.0067829112879851
Female,25-44,164,213,0.0016345174268596
Female,25-44,164,218,0.0015983243903778
Female,25-44,164,223,0.0063184630637367
Female,25-44,164,230,0.0070762298049439
Female,25-44,164,259,0.010990837243163
Female,25-44,164,264,0.0024199601711633
Female,25-44,164,268,0.0030815075806084
Female,25-44,164,272,0.0032266950486388
Female,25-44,164,288,0.0087786711650327
Female,25-44,164,299,0.0046433617202553
Female,25-44,168,29,0.0096609354326928
Female,25-44,168,35,0.001489180206615
Female,25-44,168,65,0.0015347972642851
Female,25-44,168,101,0.0030683482780295
Female,25-44,168,112,0.0027726242633378
Female,25-44,168,137,0.0051171515275217
Female,25-44,168,149,0.0023299842589346
Female,25-44,168,164,0.0106951005297952
Female,25-44,168,166,0.0029004187074901
Female,25-44,168,167,0.0040290870413753
Female,25-44,168,171,0.002276650704381
Female,25-44,168,178,0.003039616982056
Female,25-44,168,199,0.0015143260258766
Female,25-44,168,207,0.0035610593059258
Female,25-44,168,211,0.003096573650249
Female,25-44,168,222,0.0079929998534958
Female,25-44,168,223,0.0041610955707257
Female,25-44,168,259,0.0124745072766109
Female,25-44,168,338,0.003505261974203
Female,25-44,168,287288,0.001525940110801
Female,25-44,182,45,0.0076258748396489
Female,25-44,182,119,0.0029930746603736
Female,25-44,182,183,0.0039341625720189
Female,25-44,183,11,0.0019290269392914
Female,25-44,183,37,0.0069857480065943
Female,25-44,183,71,0.0038304340191347
Female,25-44,183,76,0.0086137937988103
Female,25-44,183,91,0.003736697751067
Female,25-44,183,146,0.0113401200679979
Female,25-44,183,148,0.014231577304067
Female,25-44,183,150,0.0058901114992142
Female,25-44,183,261,0.0061006710206814
Female,25-44,183,272,0.0053924362722855
Female,25-44,189,118,0.0035235305897636
Female,25-44,189,190,0.0096503860088548
Female,25-44,189,253,0.0109030111046151
Female,25-44,189,261,0.0032553273985524
Female,25-44,190,72,0.0013793338287212
Female,25-44,190,140,0.0212191946811555
Female,25-44,190,149,0.0013555214926416
Female,25-44,190,189,0.0092629957553908
Female,25-44,190,198,0.0064629293583954
Female,25-44,190,271,0.0013901633643247
Female,25-44,190,303,0.0072838680477231
Female,25-44,190,239255,0.0019537398201081
Female,25-44,191,8,0.0018772925630619
Female,25-44,191,61,0.0019014830943762
