disease_id,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n
1,78,Medium,Male,45-64,-1,-.031128142029047,-.066608556,.0043522734,.08551012,306
1,78,Medium,Male,45-64,-2,0,0,0,,306
1,78,Medium,Male,45-64,-3,-.011445171199739,-.029173451,.0062831077,.20574471,306
1,78,Medium,Male,45-64,-4,-.0040402901358902,-.024929347,.016848767,.70461619,306
1,78,Medium,Male,45-64,-5,0,0,0,,306
1,78,High,Male,45-64,0,-.0606561973690987,-.13300678,.011694386,.1003425,179
1,78,High,Male,45-64,1,-.0528004951775074,-.15207055,.046469554,.29718021,179
1,78,High,Male,45-64,2,-.057426817715168,-.19125338,.076399744,.40031266,179
1,78,High,Male,45-64,3,-.0733049437403679,-.24256784,.095957957,.39596844,179
1,78,High,Male,45-64,4,-.0847954675555229,-.29027367,.12068275,.41860685,179
1,78,High,Male,45-64,5,-.1215035542845726,-.3635174,.1205103,.32510465,179
1,78,High,Male,45-64,-1,-.0248209722340107,-.071092881,.021450937,.29308662,179
1,78,High,Male,45-64,-2,0,0,0,,179
1,78,High,Male,45-64,-3,-.0138953141868114,-.035033528,.007242898,.19760111,179
1,78,High,Male,45-64,-4,-.01542828977108,-.04844116,.017584583,.35967234,179
1,78,High,Male,45-64,-5,0,0,0,,179
1,79,Medium,Female,25-44,0,-.0033179658930749,-.085849516,.079213582,.93719435,127
1,79,Medium,Female,25-44,1,.0326915495097637,-.085770167,.15115327,.58857942,127
1,79,Medium,Female,25-44,2,.0610870383679867,-.09641175,.21858582,.44713497,127
1,79,Medium,Female,25-44,3,.122049555182457,-.083972275,.32807139,.24559101,127
1,79,Medium,Female,25-44,4,.1638636142015457,-.081764847,.40949208,.19102435,127
1,79,Medium,Female,25-44,5,.1850918233394623,-.10308498,.47326863,.20807374,127
1,79,Medium,Female,25-44,-1,.0174831673502922,-.033596959,.068563297,.50231725,127
1,79,Medium,Female,25-44,-2,0,0,0,,127
1,79,Medium,Female,25-44,-3,-.0243029836565256,-.073883496,.025277533,.33668429,127
1,79,Medium,Female,25-44,-4,-.0150376735255122,-.083007514,.052932166,.66455632,127
1,79,Medium,Female,25-44,-5,0,0,0,,127
1,79,High,Female,25-44,0,.0287472810596228,-.015540272,.073034838,.20328566,220
1,79,High,Female,25-44,1,.0580008439719677,-.0085290223,.12453071,.087500766,220
1,79,High,Female,25-44,2,.0803354308009148,-.011643398,.17231426,.086917326,220
1,79,High,Female,25-44,3,.1161768585443497,.0018936135,.23046011,.046318837,220
1,79,High,Female,25-44,4,.1277693957090378,-.012175396,.2677142,.073537998,220
1,79,High,Female,25-44,5,.1728217601776123,-.0016720555,.34731558,.052231763,220
1,79,High,Female,25-44,-1,.023418853059411,-.0039177211,.050755426,.093131766,220
1,79,High,Female,25-44,-2,0,0,0,,220
1,79,High,Female,25-44,-3,.0105028375983238,-.014813096,.035818771,.41613412,220
1,79,High,Female,25-44,-4,-.012462941929698,-.044543002,.019617118,.44638824,220
1,79,High,Female,25-44,-5,0,0,0,,220
1,79,Low,Female,45-64,0,.0852232202887535,-.11805865,.28850511,.41124544,102
1,79,Low,Female,45-64,1,.114718422293663,-.18717772,.41661456,.4564009,102
1,79,Low,Female,45-64,2,.1340356022119522,-.26871645,.53678769,.5142163,102
1,79,Low,Female,45-64,3,.1757257729768753,-.339513,.69096458,.50383258,102
1,79,Low,Female,45-64,4,.2884278893470764,-.32275659,.89961237,.35498887,102
1,79,Low,Female,45-64,5,.2079320102930069,-.52360487,.93946892,.57745206,102
1,79,Low,Female,45-64,-1,.0580691806972027,-.092364974,.20850334,.44930103,102
1,79,Low,Female,45-64,-2,0,0,0,,102
1,79,Low,Female,45-64,-3,.0533119551837444,-.046572421,.15319633,.29550382,102
1,79,Low,Female,45-64,-4,-.0116245681419969,-.1465046,.12325546,.86585832,102
1,79,Low,Female,45-64,-5,0,0,0,,102
1,79,Medium,Female,45-64,0,-.0180767066776752,-.055270661,.019117249,.34080118,180
1,79,Medium,Female,45-64,1,-.0298103913664818,-.087504409,.027883625,.31118992,180
1,79,Medium,Female,45-64,2,-.0156091935932636,-.097614214,.066395827,.70909268,180
1,79,Medium,Female,45-64,3,-.0192501097917557,-.13007078,.091570549,.73350871,180
1,79,Medium,Female,45-64,4,-.0145197315141559,-.14959174,.12055229,.83312714,180
